Politician,Issuer,Date Published,Transaction Date,Reporting Gap,Trade Type,Trade Size,Trade Price
Laurel Lee,Alibaba Group Holding Ltd BABA:US,2024 Jan 09 06:05,2023 29 Dec,days 6,SELL,100K–250K,77.51,
Virginia Foxx,CROSS TIMBERS ROYALTY TRUST CRT:US,2024 Jan 09 06:05,2023 8 Dec,days 27,BUY,1K–15K,18.5,
Virginia Foxx,FLEX LNG LTD FLNG:US,2024 Jan 09 06:05,2023 4 Dec,days 31,BUY,1K–15K,28.98,
Josh Gottheimer,Advanced Micro Devices Inc AMD:US,2024 Jan 09 06:05,2023 20 Dec,days 18,SELL,1K–15K,135.47,
Josh Gottheimer,Allegro Microsystems Inc ALGM:US,2024 Jan 09 06:05,2023 11 Dec,days 27,SELL,1K–15K,27.36,
Josh Gottheimer,Alnylam Pharmaceuticals Inc ALNY:US,2024 Jan 09 06:05,2023 11 Dec,days 27,SELL,1K–15K,170.92,
Josh Gottheimer,Alphabet Inc GOOGL:US,2024 Jan 09 06:05,2023 1 Dec,days 37,SELL,1K–15K,133.32,
Josh Gottheimer,BioNTech SE BNTX:US,2024 Jan 09 06:05,2023 6 Dec,days 32,BUY,1K–15K,101.34,
Josh Gottheimer,BioNTech SE BNTX:US,2024 Jan 09 06:05,2023 5 Dec,days 33,BUY,1K–15K,98.74,
Josh Gottheimer,BioNTech SE BNTX:US,2024 Jan 09 06:05,2023 7 Dec,days 31,BUY,1K–15K,101.925,
Josh Gottheimer,CELSIUS HOLDINGS INC CELH:US,2024 Jan 09 06:05,2023 4 Dec,days 34,BUY,1K–15K,52.36,
Josh Gottheimer,Chart Industries Inc GTLS:US,2024 Jan 09 06:05,2023 11 Dec,days 27,SELL,1K–15K,126.63,
Josh Gottheimer,ConocoPhillips COP:US,2024 Jan 09 06:05,2023 20 Dec,days 18,SELL,1K–15K,116.69,
Josh Gottheimer,Credicorp Ltd BAP:US,2024 Jan 09 06:05,2023 11 Dec,days 27,SELL,1K–15K,124.53,
Josh Gottheimer,D.R. Horton Inc DHI:US,2024 Jan 09 06:05,2023 11 Dec,days 27,BUY,1K–15K,138.9,
Josh Gottheimer,DBS Group Holdings Ltd DBSDY:US,2024 Jan 09 06:05,2023 21 Dec,days 17,BUY,1K–15K,95.442,
Josh Gottheimer,Edwards Lifesciences Corp EW:US,2024 Jan 09 06:05,2023 11 Dec,days 27,BUY,1K–15K,70.31,
Josh Gottheimer,ENN Energy Holdings Ltd XNGSY:US,2024 Jan 09 06:05,2023 11 Dec,days 27,SELL,1K–15K,25.832,
Josh Gottheimer,Fanuc Corp FANUY:US,2024 Jan 09 06:05,2023 6 Dec,days 32,SELL,1K–15K,14.01,
Josh Gottheimer,Grand Canyon Education Inc LOPE:US,2024 Jan 09 06:05,2023 20 Dec,days 18,SELL,1K–15K,140.39,
Josh Gottheimer,Haier Smart Home Co Ltd 600690:CH,2024 Jan 09 06:05,2023 11 Dec,days 27,SELL,1K–15K,N/A,
Josh Gottheimer,Helen of Troy Ltd HELE:US,2024 Jan 09 06:05,2023 11 Dec,days 27,SELL,1K–15K,110.75,
Josh Gottheimer,Houlihan Lokey Inc HLI:US,2024 Jan 09 06:05,2023 20 Dec,days 18,SELL,1K–15K,118.45,
Josh Gottheimer,INTAPP INC N/A,2024 Jan 09 06:05,2023 20 Dec,days 18,BUY,1K–15K,37.87,
Josh Gottheimer,Kering PPRUY:US,2024 Jan 09 06:05,2023 5 Dec,days 33,SELL,1K–15K,43.071,
Josh Gottheimer,"Lonza Group AG, Zuerich LZAGY:US",2024 Jan 09 06:05,2023 5 Dec,days 33,SELL,1K–15K,38.184,
Josh Gottheimer,"Lonza Group AG, Zuerich LZAGY:US",2024 Jan 09 06:05,2023 21 Dec,days 17,SELL,1K–15K,40.425,
